sample_idx,MalConv,AvastStyleConv,BBDnn,NGramConv,EmberGBDT,ResNet18,MalConvRsDel,AvastStyleConvRsDel,BBDnnRsDel,NGramConvRsDel,MalConvRS,AvastStyleConvRS,BBDnnRS,NGramConvRS,MalConvFDRS,AvastStyleConvFDRS,BBDnnFDRS,NGramConvFDRS,MalConvKDRS,AvastStyleConvKDRS,BBDnnKDRS,NGramConvKDRS,MalConvRDRS,AvastStyleConvRDRS,NGramConvRDRS,BBDnnRDRS,MalConvSDRS,AvastStyleConvSDRS,BBDnnSDRS,NGramConvSDRS
774,0.002169132232666,0.0029072761535644,0.0042698383331298,0.006972312927246,0.0056154727935791,0.0090742111206054,0.0406966209411621,0.074148416519165,0.1214690208435058,0.0448830127716064,0.1304035186767578,0.216907262802124,0.91127610206604,0.2585771083831787,0.0021321773529052,0.0034122467041015,0.0063140392303466,0.0065674781799316,0.0015060901641845,0.0022618770599365,0.0035560131072998,0.0018973350524902,0.005904197692871,0.0385446548461914,0.0133168697357177,0.0842463970184326,0.006232738494873,0.0366573333740234,0.0911471843719482,0.0248858928680419
775,0.0024147033691406,0.0078718662261962,0.0039315223693847,0.0032305717468261,0.0054774284362792,0.0088107585906982,0.0394563674926757,0.0723912715911865,0.1233453750610351,0.0418896675109863,0.1272697448730468,0.2126960754394531,0.9969217777252196,0.2658009529113769,0.0017731189727783,0.0031075477600097,0.0058121681213378,0.0029242038726806,0.0012736320495605,0.0020396709442138,0.002993106842041,0.001579999923706,0.0038442611694335,0.0353233814239501,0.0097849369049072,0.0935316085815429,0.0039334297180175,0.0357818603515625,0.093189001083374,0.022294282913208
776,0.0348873138427734,0.0234389305114746,0.0119121074676513,0.1178195476531982,0.3466856479644775,0.10123872756958,4.691580057144165,5.214627981185913,6.766955614089966,5.19139575958252,5.560282468795776,5.672909498214722,6.345644950866699,8.691392421722412,0.0239424705505371,0.0100657939910888,0.0252835750579834,0.0571064949035644,0.0203125476837158,0.0080776214599609,0.0225021839141845,0.058298110961914,0.22894287109375,0.2300469875335693,0.5235192775726318,0.2311372756958007,0.2103314399719238,0.2421488761901855,0.2659966945648193,0.5465848445892334
777,0.0204558372497558,0.0267889499664306,0.0116322040557861,0.0977904796600341,0.0477406978607177,0.0240702629089355,0.679659366607666,0.6473019123077393,1.3383100032806396,0.6623930931091309,1.9642963409423828,2.3685495853424072,3.2915611267089844,4.628612518310547,0.0078678131103515,0.0099124908447265,0.0143482685089111,0.0480709075927734,0.0067000389099121,0.007340669631958,0.0172376632690429,0.0468947887420654,0.1939709186553955,0.2306311130523681,0.4420230388641357,0.2779600620269775,0.1736524105072021,0.2318389415740966,0.2664613723754883,0.4442353248596191
778,0.0145578384399414,0.028336763381958,0.011246919631958,0.0643293857574462,0.0342295169830322,0.0187225341796875,0.4587821960449219,0.4271039962768554,1.0424294471740725,0.4612255096435547,1.4364633560180664,2.2924370765686035,3.157675266265869,2.987123489379883,0.0057206153869628,0.0098364353179931,0.0142323970794677,0.0339536666870117,0.0064156055450439,0.0073263645172119,0.0170249938964843,0.0325596332550048,0.1347770690917968,0.2472660541534423,0.3130347728729248,0.283074140548706,0.1247076988220214,0.223499059677124,0.2596054077148437,0.3160309791564941
779,0.0066983699798583,0.0180945396423339,0.01127290725708,0.0169868469238281,0.0174243450164794,0.0134227275848388,0.2047669887542724,0.1911847591400146,0.4555511474609375,0.2114896774291992,0.6537432670593262,1.1120638847351074,2.764604091644287,1.3787219524383545,0.0037000179290771,0.0067000389099121,0.0143406391143798,0.0041589736938476,0.0032069683074951,0.0061080455780029,0.0169916152954101,0.004504919052124,0.0544180870056152,0.1187238693237304,0.1351854801177978,0.2810926437377929,0.0539817810058593,0.0990157127380371,0.2592897415161133,0.1347889900207519
780,0.034982681274414,0.0288636684417724,0.0114729404449462,0.1190145015716552,0.1324362754821777,0.0488233566284179,1.863040447235108,1.5287439823150637,2.985591650009156,1.5975208282470703,3.504292726516724,3.4655516147613525,4.298478841781616,6.257874965667725,0.0180022716522216,0.0097768306732177,0.0139129161834716,0.0547244548797607,0.0144274234771728,0.007547378540039,0.0171411037445068,0.0574030876159668,0.2293105125427246,0.2345964908599853,0.5753219127655029,0.2841904163360595,0.2176737785339355,0.2104642391204834,0.245659589767456,0.5261473655700684
781,0.036625862121582,0.0291380882263183,0.0114147663116455,0.1204044818878173,0.0640022754669189,0.0299139022827148,0.7749903202056885,0.8975684642791748,1.8055953979492188,0.91815185546875,2.5953304767608643,2.6716527938842773,3.098583459854126,5.418461084365845,0.0178785324096679,0.0098688602447509,0.0143804550170898,0.0568382740020751,0.0140948295593261,0.0075044631958007,0.0171709060668945,0.0611906051635742,0.2387459278106689,0.2382764816284179,0.560560941696167,0.2786026000976562,0.2203190326690673,0.2117888927459716,0.2240722179412841,0.5346939563751221
782,0.0080885887145996,0.0248184204101562,0.0113847255706787,0.0245776176452636,0.0211186408996582,0.0149085521697998,0.205930471420288,0.2430810928344726,0.4638242721557617,0.2523837089538574,0.7631824016571045,1.429581642150879,2.3976666927337646,1.585801362991333,0.0040948390960693,0.0071778297424316,0.0142087936401367,0.0070104598999023,0.0038244724273681,0.0129306316375732,0.016897439956665,0.0118114948272705,0.0726232528686523,0.1556963920593261,0.1839246749877929,0.2483723163604736,0.0688788890838623,0.140169620513916,0.2230753898620605,0.1610393524169922
783,0.0024528503417968,0.0137031078338623,0.01045823097229,0.0051755905151367,0.0063145160675048,0.0089645385742187,0.0490062236785888,0.0783445835113525,0.1430764198303222,0.0545167922973632,0.1476099491119384,0.2887542247772217,1.3380229473114014,0.3040885925292969,0.0019207000732421,0.0034966468811035,0.0064692497253417,0.0030090808868408,0.0019757747650146,0.0023927688598632,0.0083928108215332,0.0024468898773193,0.0060563087463378,0.0381028652191162,0.032630443572998,0.1281142234802246,0.0066895484924316,0.0340144634246826,0.1172528266906738,0.0309445858001709
784,0.0369815826416015,0.0287787914276123,0.0116302967071533,0.1171839237213134,0.1294646263122558,0.0477004051208496,1.37302827835083,1.5421669483184814,2.9869070053100586,1.7484080791473389,3.3336212635040283,3.4648306369781494,3.64637303352356,6.047343730926514,0.0177030563354492,0.0098271369934082,0.0146782398223876,0.0550150871276855,0.0139617919921875,0.0074450969696044,0.0174825191497802,0.0580637454986572,0.2381153106689453,0.2497541904449463,0.5442593097686768,0.2418999671936035,0.2282748222351074,0.2123646736145019,0.2493495941162109,0.5375015735626221
785,0.0026402473449707,0.012761116027832,0.0102875232696533,0.0077383518218994,0.0063118934631347,0.0092749595642089,0.0471765995025634,0.0784375667572021,0.1310038566589355,0.047614574432373,0.1563389301300048,0.2589821815490722,1.229949951171875,0.2927772998809814,0.0021545886993408,0.0033175945281982,0.0062201023101806,0.006659984588623,0.002206802368164,0.0022909641265869,0.0036847591400146,0.0030975341796875,0.0065391063690185,0.0396952629089355,0.028602123260498,0.1167387962341308,0.0066590309143066,0.0326359272003173,0.1060366630554199,0.0267131328582763
786,0.0037453174591064,0.0156080722808837,0.0116190910339355,0.0080370903015136,0.0106177330017089,0.0107791423797607,0.0935707092285156,0.1208834648132324,0.183861494064331,0.0898482799530029,0.3498883247375488,0.5842244625091553,2.427390813827514,0.6535623073577881,0.0023510456085205,0.0041999816894531,0.0142395496368408,0.0032153129577636,0.0023396015167236,0.0028846263885498,0.0170385837554931,0.003779649734497,0.0248956680297851,0.0515110492706298,0.0633528232574462,0.2676212787628174,0.0239551067352294,0.0544445514678955,0.2236502170562744,0.0597884654998779
