hash,CS,FD,gamma_5,gamma_10,gamma_20,gamma_30,gamma_50
053384c2944587c9b8dd5a849b7620de6de333ae0a2d31236aeef3f9f677c966,4096,128,287232,745984,722944,651776,750592
055d321b0839c098d1dcddf91327d446de1011b01aecfebc208a89f84b2ec2c8,4096,200,221184,638976,507904,688128,512000
055fa5f50f07b1f6a97971886ed411e1fed3f10b3320ed24441c421b1fcce08f,4096,184,262144,471040,589824,749568,765952
05618ac4d74a28db1fd29373baddb8ef6022b2102b4057452e6594dab5bfc415,4096,128,287232,709120,706560,0,546304
0586a46fb979b19575fd747a5337ea7c266da0a54a61172a4d383aa4b913b4f5,4096,256,299008,-1,700416,667648,692224
05b7f1a56f91d96c7b57d482a6be74506b4b67c974d6c0b3a1382e961e2e9d5e,4096,184,200704,626688,765952,548864,765952
05ba6322f8dcbed7acde9e5c2fb84ba11596b5e3d03805df1328b5846c8e1873,4096,216,287232,746496,749568,747008,749568
05c3ca4f05d63fee5e70dc341601d64ea89164872d1b3cf83b6548ccc4beec44,4096,128,292864,556544,749568,749568,749568
05d5a74899a8fd492360a904202e8d3f6a7ed14344d478e7ab2b289c77d41df2,4096,200,262144,761856,692224,667648,679936
05ddf7b2b93726ff70930b604c192353b8197a8f138ca983fcb03ad71b150614,4096,128,195584,661504,664064,748032,655872
05e0797c494924d35cdbc8a17e67f67e5800f4e9cb3a58004035a9def2ee7ca3,4096,200,288256,741376,684544,746496,711680
05e3856618adb6bea41d79186c0914f448632cb8d53fcd6cf692de05e48a5f55,-1,-1,-1,-1,-1,-1,-1
05e44238ab6c3fd38949af6957ed184371579016e60a158d0c34e8fcb0603398,-1,-1,246784,694784,749568,749568,678912
060cf2e54d14dba251f0d8d5b7886c44eba6d14fc2cf2711a93f059de4263729,4096,232,294912,733184,712704,765952,675840
0618abdcb0c06d0b6892eb8af5ad66a3b96d0d635557fa4d80637909fde700eb,4096,208,292864,750080,750080,745472,750080
061d79eccc2c5cb29f036a6fe8bb0a79bc6460ca665fa603fc479ec43c190788,4096,128,286208,749568,749568,749568,749568
06216af46046aa44249f1372cf2398195177d18796a650ca205e11ca15c793a3,4096,208,241664,338432,471040,711168,689664
0640a43aef951229b43eea1d7e5c90c1fe4a073307443996a8a4d58dad6aad1b,4096,208,161280,577536,749568,737792,711680
064f417511b540499a05580e954d3085716a2e16c0cd9c886efa99fa7d572cf6,4096,200,196608,679936,741376,708608,667648
065532b5884d67aa02372cd3167e5a0e68b2713f82bee9d9c9186b5d2b13b1f0,-1,-1,177664,752128,626176,631808,-1
066b0fb504df8bc085c59e42bcad39050c869da56df328c6783d62b13b77a0ca,4096,216,294912,765952,417792,200704,720896
068da0f7cb7ae975257d6e2d72cb28759acda9fc11f5b241df9051bb32848f26,4096,232,115200,329728,585216,253952,721408
06940bdba646c55474a7124e8ce0aa684ff5f9bbde7bf27eae6e0853927691bc,4096,224,303104,765952,708608,741376,753664
0696a4de657bbac43bc9a4b6d7e36328cf45cdb3cdf4032c93942b455ef0edb4,4096,200,303104,753664,638976,712704,749568
06b5e158c05af37f8583ed77213133076e0f2f9f4f194f3d744afba96f4d51a0,4096,128,193024,671744,712704,666624,666624
06ba1de83e0b89c3396d5856937bef9c80a8e4d605ec152177877480f1c2f2d6,4096,176,192512,712704,413696,565248,761856
06e542b1bb1fe935e770d1b7c5fced606c1a15637cf565660f5e71f3c39738db,4096,224,187392,447488,40960,512,130560
06ec8ca17ee3ec6de27e6645a07f54091d131e18b572ae8b96ea97816548306e,4096,128,100284,409532,267196,376252,750012
06ed05f51ecf9e6a4599c148275c6459a3b594883542946724f72127474237af,4096,224,303104,765952,765952,765952,765952
06fcd815250b0c06e7e4aec2e89f5700393977e41e08d3fa2e54033c1a25d0d6,4096,192,292864,515072,748032,749568,715264
071096db3cdeaace5302c22555bf0451a6d7b340b1790312e9d4fcdffa11a5c2,4096,128,174592,303104,325120,242176,605184
07374e17a7b54a927c51d286114c110b51a1d6e92f7a0be53f2bb5c8a2bf9f22,4096,128,288696,452024,387000,750008,735160
075f6f930f18ba8296dde80a8851eb13a6f3217184e14651a2e0351d23c5f89c,4096,248,110592,684032,765952,688128,749568
07615a49c93b161f9072ef5c4932aadb04849f5d1d6f9019cc91dda61e0e24a6,4096,200,292864,684032,743424,749568,678912
0762c29cd84cfbd68d30631d656e358af9436ce272463c9dc6de406c46de9030,4096,232,292864,657408,728576,734720,556544
07824032e572d8a9ef7c4d930ca2850798bb4b366f00348ccfca02b1feea866c,4096,200,303104,720896,737280,737280,757760
0797c35f1434a48c9d7f5bf1ec3aa0b997b5468c78c918da3a8f13666522828f,4096,248,161280,748032,750592,750592,724992
07a4cec682dbbf484f359c4e4afa86e89f2615e993ca23d909df5b5690a81fcb,-1,-1,-1,-1,-1,-1,-1
07ad5c2d0711120ae253296c04f89e3d69f0ce413b51a1b844a8d840d9470a3f,4096,216,292864,749568,747008,749568,748544
07c05d6507fa202526cdacd3a08aa9b5b08016f445fe67154f4389e34d97716d,4096,128,280512,465856,260032,260032,381888
07de116a7cc16560235a04980065efd12f3037211957473939a57fb33193daf9,4096,240,200704,765952,655360,765952,729088
07f2ff1a04a81db61d523db8b29d82cf340b7bba75275d10dad811c16f6988ae,-1,-1,288256,743936,749568,746496,748544
07f30e525efc10f5ce2c994187e84a1d5b5d4a393dd9aa66316b7d8cd51adfee,4096,128,295424,753664,754688,414208,750592
0801fea64677790d21b57e86ba8374e8e11af15c1be3d17737e58cc379b0cfd7,4096,200,303104,634880,696320,724992,638976
