hash,FD,CS,gamma_5_x,gamma_10_x,gamma_20,gamma_30,gamma_50,gamma_10_sp,gamma_5_sp
90ee7691af1447e27f7b5fa8dc6948679008c065b9592d634f4a21798868c6fc,-1,-1,259584,743936,718848,749568,743424,5916160,1045504
cc29645bcf37268c9fd1b76a27598eb60f87665c33a6313223cca88c66549d12,-1,-1,196608,638976,765952,761856,749568,6205440,1126400
a408673bbfdf6d5c83458d1f6bc86409c76cb74fac565ac23b33710f900f8e26,-1,-1,289792,726016,731136,709632,750080,6185472,983040
e9c9d95839c4199aeac90d3d27fd72956c8003673b49d649137870058ad0d12f,-1,-1,293312,745920,750016,747456,426432,4935616,851904
624bb03e8affbe3eb5e7a1d4c9bf0faa4b2e40132f715822ae28f2f19dd06a88,-1,-1,193024,731136,749568,674304,736256,6039040,1114624
b6b15bb7f3a9e13afeb835a509fcbe954592447099137ffec41bd2897639b18b,-1,-1,262144,638976,671744,716800,745472,2883584,-1
ba800c2cc4bcb14f17d4fe74e9e22ce0dd1b7a3557387cb3c61255aad4ac7bb0,-1,-1,292864,728576,747520,754688,733184,6011392,1117184
4bf8c64c43914681beac73c96dc2b0d9522c5221842fa946a7d228c2c772f42b,-1,-1,268288,750080,717312,660992,750080,6126080,1040896
b47c8cbaf311aa1803374ed1c049f485250ca24a2282950309444ae8f914360e,-1,-1,303104,598016,737280,765952,757760,5963776,1126400
478fd62afd027e034defd4e240a773aacd7e33d3003b46bececcbc76cb506bdc,-1,-1,167936,495616,434176,581632,737280,6045696,933888
78d9f43fec1091624accb6bde07ff5c8ede732eea4429954f7606fdd5eb5eb18,-1,-1,292864,711168,717824,330240,745472,6048256,1103360
cdde9961d38685a3fa01b759c09e245b26ecef06af5cafa276fa27a9c56ff117,-1,-1,-1,-1,-1,-1,-1,-1,-1
b2f85c7b366d02c0fc2f3a24054fd4da9057ec4ff7f0e2c00ed8c9549a30d2ad,-1,-1,290816,713216,737792,714752,753664,6189056,924672
ec7a8a3204800f1e6c8e0d1bb985436910c53b31a9275e8d565ca39de66e5c63,-1,-1,299008,745472,745472,765952,753664,5718016,1126400
85694f7aa093c6e88aa5f7115197aa2baf5ecb024ae2785d12d5db140f532f89,-1,-1,283136,717312,733696,690688,626688,5812224,1114624
900a03b812e72595d98305441281f76da025411e402e6ac69102dbb0f86a7c1a,-1,-1,252416,749568,749568,718848,728064,5062656,1069568
d1ee528019e523490f2c0005542870e1dac969d9cabfeec21162d8fc71634cf5,-1,-1,303104,589824,741376,737280,753664,6131712,1126400
62be41d5721339b91dd61254d7bd5e0d2d60611407cd29feae6383107945c4a4,-1,-1,253440,636928,730112,738816,738304,6068736,923136
1733f9ea154bcf270f911896a6aff96eae1de2ec8908a4f37eda834f7d191d8b,-1,-1,299008,753664,765952,557056,765952,6205440,1126400
ce8863357b11979bcf2f037da4a6f388b6969e65046e116b33505b24ae95f929,-1,-1,200704,684032,761856,761856,643072,5480448,933888
95355e1b933d6cbfb45ace95f06f6129e727eda4ba01a5d575a22fe9fdf72e24,-1,-1,-1,-1,-1,-1,-1,-1,-1
216a3ec4d7ddd068c0499afa98622d8f35b64c743ca96fe385b445c0b54417a8,-1,-1,151040,674304,745984,745984,738816,4504576,851456
a6fe3a7ba60d40c2685447c7aeb4af3c5f4eb3e5c1dc13588da54b0c9b52105b,-1,-1,-1,636416,687104,-1,701952,6185472,1042432
4abfaac9610f518c69905d506ff72fc35946d24780b284595307a9e55f932b15,-1,-1,303104,737280,749568,745472,684032,6201344,1056768
fed5b3f52520e46222620ca63f238a23d53a94e609dd278e187434268a3ca4c6,-1,-1,292864,747520,746496,749568,749568,1780224,1112576
3021efe429c4818e64d94b8df897e66b609da86b1f1ff36e4bcddf29249bde86,240,-1,102400,430080,765952,765952,765952,5746688,1126400
04693023554c44c35065dfea3b9082380cc7da33f6bcbfb8ff8925bd23afb0ce,-1,-1,303104,724992,684032,761856,753664,6205440,1048576
ba8c74107bdf26b99e52704733a1f7ba49af47b893a3d60ca9dddf2d59a3d5f8,-1,-1,-1,739840,744448,704512,750080,6185472,1112576
e6126330f4d4484ab26b82c0c85a96e208c4c66078187d9e1937252131ba64ae,-1,-1,262144,761856,696320,741376,765952,6201344,1089536
0906c04f9ecaf6fc86acdd36be960cfd71d3a710fb96c81f3e3decf0f47f2f0b,-1,-1,-1,678912,709120,747008,736256,-1,923136
ad242b60339b8159727ad523dffa6372bf3ee7fdee690152f9e44112676ea14d,-1,-1,299008,765952,765952,765952,753664,6205440,1048576
941b6f4a292022345b993da4b41c843b393744c5710bdaa583eae01d5cf1b75d,-1,4096,-1,-1,-1,-1,-1,-1,-1
bec82226b11d2e6638e699998ea57d7fd6ee991719cb76f2c786e61aab58a1aa,-1,-1,303104,753664,729088,765952,626688,6205440,1126400
86a21ecb5f2e9031ae3163beb6a524863fd412a03f58ed09792a91b9707fdb0e,-1,-1,295424,722432,721920,733696,679936,5990400,1117184
f13e4aa2306fbdd9c2139e35e7d35554682ab1c7f79a0b002dc145d7232fdb86,-1,-1,159744,741376,454656,729088,753664,6201344,1126400
a13f9f4bcae98ef26c47613b4c67493fbf0ef469125e2db46d3e51266e66a47c,-1,4096,295424,623104,675840,673792,742912,6190080,1117184
5707ef175b1d7255145c4e398dd4c4e9e89d30500f9b3538998c1cdd1739e6bb,-1,-1,262656,723456,748544,713216,737792,6039040,1116160
b0e78021e33afa3380b6c18537ff891a368cf4b89e7c32a968f7248b4d931b96,128,4096,150016,331776,235008,396288,499200,301568,338432
bd510d8a1005fcd249e0130456dfc3f42204da190c799fef23f202229c667604,-1,4096,292864,743936,749568,749568,749568,6184960,1114624
8c47b55f36fe45a87ed80b68ac1a73fd9b7355f2e9c88abba473f8d7f401ca77,-1,-1,292864,495616,622592,749568,736256,5998592,923136
b83216e968b116149328dc1da1c40d36d07c0038fa0faca894a92fa354fe81ac,-1,-1,-1,765944,-1,-1,-1,5722104,1044472
6179fa51d0111d646490a52055b0d70f1195189cc8735e183e20f450d2c5241e,-1,-1,270336,455168,722432,732160,749568,6170624,1114624
4b484eacd7a6f7c689c6816e61615c082bc53088e3e1e89edf12a1ccb4c4399a,-1,4096,-1,-1,-1,-1,-1,-1,-1
b7e23aacaee68f2f965d329f0ee66a14fe4e28e0e41d4b17f3021408d7870d41,-1,-1,292864,585728,496128,747008,750080,6164992,1114624
e6b4adf219500697b7c0f836c6954b5522cec1b0c6ea50bd3d73d7410f9d9676,-1,-1,262144,761856,598016,720896,499712,6168576,1126400
4005d418dddf7d5d396bbe06e4c2f923e8e5dfb4b22d6c3d8c90b4fb48987f8e,-1,-1,274432,327680,434176,761856,741376,6197248,1114112
9071e379e88c6520fb1575cea1c30fd4a9b5096cdffaa3d4222e4b6f6d647433,-1,-1,292864,541696,752128,-1,638464,925696,1099776
b7f78687a692a9a730c7952268a78d27461505aa777614f776715658efaf5c54,-1,-1,252416,297984,653824,716800,733696,6184960,967168
1dccc3ad0f807d1f46215799f017e8657d94a4b8225de513b3f40e0a4f76ad22,-1,-1,258560,752640,752640,752640,723968,6046720,1115136
d883a41bad13da6888996c8e0d943bd48a7312692fa6405d43bc0373baf59e50,-1,4096,187840,750016,431040,714176,746432,2943424,1099200
bfe2e5df965b5abf1364b93c9a87da7c8c1d8f807b60f39015bf24681c184425,-1,-1,-1,738816,-1,750080,723968,5967872,1114624
ff83d2e29b1730751dc5e401d5c09249b2d6f5e83c3bb9ad5c55253b5813a31f,-1,4096,292864,752128,577536,724992,728064,1753600,-1
fdb5cc8857686c6be1cffa1d3341e47af7d0f0ff070a4b208c309770007be12c,-1,-1,141774,707022,753102,753102,730574,6188494,1115598
098594492ed0b8b90afa9edbdd25b4255fbcb6561ccb90b68061a022d67ec400,-1,-1,233472,737280,765952,765952,626688,5619712,933888
755c7e2e67b314efec4068b56475abc24fe046371fce33f2470eae8f430e11bc,-1,-1,199168,740352,361984,749056,741376,3303936,1060864
83b8ebf064ff7ca5b0378cbb86a712e98529fdef2fc53d0e92fc2033e0ce1f23,-1,-1,290304,740864,424960,730112,649728,1406976,1114624
02f3c95c72d12b736753ff31bbbadc586800768c668d144d9dd50eb946fe4edb,-1,-1,-1,-1,-1,-1,-1,6201344,1126400
