model,F1-Score@2019-Q1,Acc@2019-Q1,TPR@2019-Q1,FPR@2019-Q1,n_malware,n_goodware,F1-Score@2019-Q2,Acc@2019-Q2,TPR@2019-Q2,FPR@2019-Q2,n_malware,n_goodware,F1-Score@2019-Q3,Acc@2019-Q3,TPR@2019-Q3,FPR@2019-Q3,n_malware,n_goodware,F1-Score@2020-Q1,Acc@2020-Q1,TPR@2020-Q1,FPR@2020-Q1,n_malware,n_goodware,F1-Score@2020-Q2,Acc@2020-Q2,TPR@2020-Q2,FPR@2020-Q2,n_malware,n_goodware,F1-Score@2020-Q3,Acc@2020-Q3,TPR@2020-Q3,FPR@2020-Q3,n_malware,n_goodware,F1-Score@2021-Q1,Acc@2021-Q1,TPR@2021-Q1,FPR@2021-Q1,n_malware,n_goodware,F1-Score@2021-Q2,Acc@2021-Q2,TPR@2021-Q2,FPR@2021-Q2,n_malware,n_goodware,F1-Score@2021-Q3,Acc@2021-Q3,TPR@2021-Q3,FPR@2021-Q3,n_malware,n_goodware,F1-Score@2022-Q1,Acc@2022-Q1,TPR@2022-Q1,FPR@2022-Q1,n_malware,n_goodware,F1-Score@other_future,Acc@other_future,TPR@other_future,FPR@other_future,n_malware,n_goodware,F1-Score@other_past,Acc@other_past,TPR@other_past,FPR@other_past,n_malware,n_goodware
MalConvKDRS,0.6515,0.5242,0.5231,0.4699,2074,366,0.4322,0.3303,0.2938,0.4303,1644,251,0.4466,0.6174,0.8385,0.4324,192,851,0.9078,0.852,0.9155,0.3953,1989,511,0.8159,0.7359,0.79,0.4187,1038,511,0.7743,0.6947,0.7299,0.3945,1577,621,0.872,0.7975,0.9013,0.5413,3160,968,0.809,0.7453,0.8423,0.4275,2238,1256,0.8912,0.8742,0.9422,0.2078,3029,2512,0.2665,0.5349,0.6795,0.4857,2346,16518,0.8599,0.8101,0.7753,0.0843,1366,451,0.9214,0.8687,0.8957,0.2956,69209,11391
NGramConvKDRS,0.8565,0.766,0.8216,0.5492,2074,366,0.9508,0.9129,0.9708,0.4661,1644,251,0.4055,0.5053,0.9167,0.5875,192,851,0.3005,0.2568,0.2006,0.5245,1989,511,0.733,0.636,0.6744,0.4738,1038,511,0.623,0.5205,0.5523,0.5604,1577,621,0.8175,0.734,0.7785,0.4112,3160,968,0.642,0.5784,0.5903,0.4427,2238,1256,0.8898,0.869,0.968,0.2504,3029,2512,0.2832,0.4574,0.8619,0.6001,2346,16518,0.8823,0.8354,0.8206,0.1197,1366,451,0.9545,0.921,0.9663,0.3544,69209,11391
AvastStyleConvRDRS,0.6459,0.5258,0.5087,0.377,2074,366,0.6514,0.5266,0.5097,0.3625,1644,251,0.528,0.7172,0.8594,0.3149,192,851,0.2992,0.3048,0.1865,0.2348,1989,511,0.8462,0.788,0.7871,0.2094,1038,511,0.7937,0.7329,0.7159,0.2238,1577,621,0.8677,0.8033,0.8427,0.3254,3160,968,0.6959,0.6551,0.6162,0.2755,2238,1256,0.7017,0.7161,0.6108,0.1568,3029,2512,0.2614,0.529,0.6701,0.491,2346,16518,0.8793,0.8338,0.8053,0.0798,1366,451,0.9462,0.9089,0.9333,0.2394,69209,11391
BBDnnRDRS,0.057,0.1725,0.0294,0.0164,2074,366,0.2923,0.2718,0.1734,0.0837,1644,251,0.5019,0.743,0.7031,0.2479,192,851,0.2641,0.318,0.1538,0.0431,1989,511,0.8167,0.7616,0.7168,0.1102,1038,511,0.6755,0.6415,0.52,0.0499,1577,621,0.8587,0.8077,0.7633,0.0475,3160,968,0.5467,0.5544,0.4196,0.2054,2238,1256,0.7023,0.7302,0.582,0.0912,3029,2512,0.5797,0.8951,0.5818,0.0604,2346,16518,0.8658,0.82,0.7723,0.0355,1366,451,0.8354,0.7522,0.732,0.1251,69209,11391
MalConvRDRS,0.7098,0.5881,0.5926,0.4372,2074,366,0.4761,0.3636,0.3333,0.4382,1644,251,0.4696,0.6491,0.8438,0.3948,192,851,0.924,0.8752,0.9537,0.4305,1989,511,0.833,0.7573,0.817,0.4132,1038,511,0.7906,0.7011,0.7863,0.5153,1577,621,0.8873,0.8241,0.9044,0.438,3160,968,0.7687,0.7009,0.7757,0.4323,2238,1256,0.8626,0.8439,0.8963,0.2193,3029,2512,0.2476,0.5471,0.5993,0.4603,2346,16518,0.8732,0.8261,0.7965,0.0843,1366,451,0.9273,0.878,0.9067,0.2964,69209,11391
NGramConvRDRS,0.9348,0.8857,0.9648,0.5628,2074,366,0.9549,0.9203,0.9732,0.4263,1644,251,0.4764,0.627,0.9219,0.4395,192,851,0.3049,0.2596,0.2041,0.5245,1989,511,0.758,0.666,0.7062,0.449,1038,511,0.6866,0.5901,0.6259,0.5008,1577,621,0.8309,0.7524,0.7943,0.3843,3160,968,0.6107,0.522,0.5853,0.5908,2238,1256,0.8915,0.8735,0.9508,0.2197,3029,2512,0.2698,0.4783,0.7749,0.5638,2346,16518,0.8808,0.8343,0.8141,0.1042,1366,451,0.9471,0.9096,0.9433,0.2953,69209,11391
AvastStyleConvSDRS,0.7019,0.584,0.5762,0.3716,2074,366,0.3963,0.3119,0.2603,0.3506,1644,251,0.5229,0.72,0.8333,0.3055,192,851,0.2981,0.3032,0.186,0.2407,1989,511,0.8388,0.7794,0.7746,0.2066,1038,511,0.7918,0.7366,0.6982,0.1659,1577,621,0.8669,0.8016,0.8443,0.3378,3160,968,0.6643,0.6274,0.5755,0.2803,2238,1256,0.6924,0.71,0.5972,0.1541,3029,2512,0.2684,0.569,0.6355,0.4404,2346,16518,0.8796,0.8343,0.8045,0.0754,1366,451,0.9461,0.9086,0.9341,0.2462,69209,11391
BBDnnSDRS,0.0561,0.1721,0.0289,0.0164,2074,366,0.2967,0.2744,0.1764,0.0837,1644,251,0.5374,0.7507,0.7865,0.2573,192,851,0.2636,0.316,0.1538,0.0528,1989,511,0.8147,0.7595,0.7139,0.1102,1038,511,0.6667,0.6347,0.5092,0.0467,1577,621,0.8611,0.8106,0.7668,0.0465,3160,968,0.5491,0.5558,0.4223,0.2062,2238,1256,0.6824,0.7167,0.5569,0.0908,3029,2512,0.5817,0.8956,0.5835,0.0601,2346,16518,0.8665,0.8211,0.7723,0.031,1366,451,0.8322,0.7482,0.7274,0.1259,69209,11391
MalConvSDRS,0.7619,0.6467,0.6649,0.4563,2074,366,0.462,0.3536,0.32,0.4263,1644,251,0.4711,0.6491,0.849,0.396,192,851,0.9301,0.8844,0.9668,0.4364,1989,511,0.8277,0.7495,0.8121,0.4298,1038,511,0.7822,0.6924,0.7698,0.504,1577,621,0.8583,0.7873,0.8415,0.3895,3160,968,0.6914,0.6245,0.6568,0.4331,2238,1256,0.8585,0.8399,0.8884,0.2186,3029,2512,0.2576,0.5512,0.6262,0.4594,2346,16518,0.8753,0.8288,0.7987,0.0798,1366,451,0.9287,0.8803,0.9082,0.2894,69209,11391
NGramConvSDRS,0.9463,0.9045,0.9894,0.5765,2074,366,0.9553,0.9208,0.9757,0.4382,1644,251,0.4745,0.6242,0.9219,0.443,192,851,0.3038,0.2556,0.2041,0.544,1989,511,0.7514,0.6581,0.6975,0.4545,1038,511,0.6823,0.5869,0.6183,0.4928,1577,621,0.8286,0.7498,0.7902,0.3822,3160,968,0.6069,0.5192,0.5795,0.5884,2238,1256,0.8936,0.8757,0.9548,0.2197,3029,2512,0.2709,0.4826,0.7728,0.5586,2346,16518,0.881,0.8349,0.8133,0.0998,1366,451,0.9478,0.9106,0.9443,0.2942,69209,11391
