,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
NGramConvFDRS,0.45424013434089,0.5564651553316541,0.44017632241813603,0.4361880772460118,0.4517212426532326,0.4892947103274559
MalConvKDRS,0.14147774979009237,0.33711167086481947,0.1473551637279597,0.12174643157010916,0.12300587741393787,0.1574307304785894
AvastStyleConvKDRS,0.2882031905961377,0.37636439966414775,0.32682619647355166,0.3037363560033585,0.3121326616288833,0.3228379513014274
BBDnnKDRS,0.5910999160369438,0.6150293870696893,0.6066330814441646,0.5860621326616289,0.5940386230058774,0.603904282115869
NGramConvKDRS,0.3994542401343409,0.538623005877414,0.41225860621326615,0.4078505457598657,0.4235936188077246,0.4554995801847187
MalConvRDRS,0.11481947942905121,0.3146515533165407,0.12342569269521411,0.10516372795969774,0.10495382031905962,0.13035264483627204
AvastStyleConvRDRS,0.2598656591099916,0.3589420654911839,0.2879932829554996,0.2680520570948782,0.2751889168765743,0.29429051217464314
NGramConvRDRS,0.09907640638119228,0.30919395465994964,0.11838790931989925,0.0948782535684299,0.09193954659949623,0.11376994122586062
BBDnnRDRS,0.5373635600335852,0.5619227539882452,0.5524769101595298,0.540512174643157,0.5392527287993283,0.5507976490344249
MalConvSDRS,0.10096557514693535,0.3058354324097397,0.11460957178841309,0.09340890008396306,0.09151973131821999,0.12069689336691855
AvastStyleConvSDRS,0.24412258606213266,0.3404701931150294,0.2861041141897565,0.2567170445004198,0.2661628883291352,0.28463476070528965
BBDnnSDRS,0.5455499580184718,0.5701091519731318,0.5594038623005877,0.5455499580184718,0.5419815281276238,0.552896725440806
NGramConvSDRS,0.09760705289672544,0.3089840470193115,0.11418975650713686,0.09193954659949623,0.08669185558354324,0.10978169605373636
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.8528547439126785,0.7903022670025189,0.9078505457598657,0.9000839630562553,0.84151973131822,0.9000839630562553
AvastStyleConvRsDel,0.8442485306465155,0.7915617128463476,0.8849706129303107,0.882031905961377,0.8268261964735516,0.8765743073047859
BBDnnRsDel,0.961376994122586,0.9494122586062133,0.9590680100755667,0.9573887489504618,0.9599076406381192,0.9617968094038623
NGramConvRsDel,0.9275818639798489,0.9147774979009236,0.9227539882451721,0.9231738035264484,0.9275818639798489,0.9246431570109152
MalConvRS,0.9563392107472712,0.9393366918555835,0.9492023509655751,0.9464735516372796,0.9563392107472712,0.9563392107472712
AvastStyleConvRS,0.8446683459277917,0.8480268681780017,0.8492863140218304,0.8677581863979849,0.8534844668345928,0.8740554156171285
BBDnnRS,0.9777497900923594,0.9485726280436608,0.9773299748110831,0.9783795130142737,0.9725020990764064,0.9722921914357683
NGramConvRS,0.8543240973971452,0.8434089000839631,0.8423593618807724,0.846767422334173,0.8459277917716205,0.8507556675062973
MalConvFDRS,0.9361880772460117,0.9246431570109152,0.9376574307304786,0.9326196473551638,0.9303106633081444,0.9282115869017632
AvastStyleConvFDRS,0.9475230898404702,0.9303106633081444,0.9498320738874895,0.9498320738874895,0.9332493702770781,0.9529806884970613
BBDnnFDRS,0.9641057934508817,0.9500419815281276,0.9645256087321579,0.9620067170445005,0.9617968094038623,0.9588581024349286
NGramConvFDRS,0.9552896725440806,0.9351385390428212,0.9672544080604534,0.9649454240134341,0.9389168765743073,0.9599076406381192
MalConvKDRS,0.9374475230898405,0.9324097397145256,0.9359781696053736,0.9357682619647355,0.9351385390428212,0.9361880772460117
AvastStyleConvKDRS,0.950671704450042,0.950671704450042,0.9513014273719563,0.950671704450042,0.9502518891687658,0.9485726280436608
BBDnnKDRS,0.8990344248530646,0.8933669185558354,0.9093198992443325,0.9105793450881612,0.8981947942905122,0.903232577665827
NGramConvKDRS,0.963056255247691,0.9575986565910999,0.9615869017632241,0.9611670864819479,0.9599076406381192,0.9622166246851386
MalConvRDRS,0.9357682619647355,0.9307304785894207,0.934718723761545,0.9355583543240974,0.9275818639798489,0.9292611251049538
AvastStyleConvRDRS,0.9431150293870697,0.9382871536523929,0.9445843828715366,0.9424853064651554,0.9342989084802686,0.941855583543241
NGramConvRDRS,0.9439546599496221,0.9387069689336692,0.9452141057934509,0.9426952141057935,0.9431150293870697,0.943744752308984
BBDnnRDRS,0.8952560873215785,0.8929471032745592,0.8963056255247691,0.8965155331654072,0.8956759026028548,0.8935768261964736
MalConvSDRS,0.9408060453400504,0.934718723761545,0.9355583543240974,0.9382871536523929,0.9298908480268682,0.9315701091519731
AvastStyleConvSDRS,0.9426952141057935,0.9420654911838791,0.9424853064651554,0.9420654911838791,0.9431150293870697,0.9426952141057935
BBDnnSDRS,0.8950461796809404,0.8939966414777498,0.8942065491183879,0.8946263643996641,0.8952560873215785,0.8935768261964736
NGramConvSDRS,0.9460537363560033,0.9403862300587741,0.9450041981528128,0.9433249370277078,0.9429051217464316,0.9445843828715366
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.9475230898404702,0.9447942905121747,0.9458438287153652,0.9458438287153652,0.9445843828715366,0.9456339210747271
AvastStyleConvRsDel,0.9070109151973131,0.9089000839630562,0.9076406381192276,0.9072208228379512,0.9080604534005038,0.9065910999160369
BBDnnRsDel,0.9748110831234257,0.9743912678421495,0.9737615449202351,0.9743912678421495,0.9748110831234257,0.9752308984047019
NGramConvRsDel,0.9223341729638959,0.9219143576826196,0.9227539882451721,0.9217044500419815,0.922544080604534,0.9231738035264484
MalConvRS,0.9496221662468514,0.9496221662468514,0.9502518891687658,0.9492023509655751,0.9485726280436608,0.9500419815281276
AvastStyleConvRS,0.918975650713686,0.9191855583543241,0.9221242653232578,0.9223341729638959,0.9210747271200672,0.9191855583543241
BBDnnRS,0.9477329974811083,0.9479429051217464,0.9477329974811083,0.9473131821998321,0.9473131821998321,0.947103274559194
NGramConvRS,0.8471872376154492,0.8442485306465155,0.8459277917716205,0.845088161209068,0.8455079764903443,0.8446683459277917
MalConvFDRS,0.940176322418136,0.9405961376994123,0.9399664147774979,0.9408060453400504,0.9410159529806885,0.9403862300587741
AvastStyleConvFDRS,0.9659949622166247,0.9653652392947103,0.9651553316540722,0.9657850545759865,0.9657850545759865,0.9649454240134341
BBDnnFDRS,0.9645256087321579,0.9636859781696053,0.964735516372796,0.9645256087321579,0.9641057934508817,0.9638958858102435
