,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvKDRS_CS,0.937447523,0.93240974,0.93597817,0.935768262,0.935138539,0.936188077
MalConvKDRS_FD,0.91813602,0.919815281,0.920235097,0.919185558,0.920864819,0.920235097
MalConvKDRS_gamma_05,0.548698573,0.622586062,0.564651553,0.53736356,0.545759866,0.54450042
MalConvKDRS_gamma_10,0.159319899,0.247900924,0.170235097,0.14147775,0.129303107,0.163937867
MalConvKDRS_gamma_20,0.151553317,0.371536524,0.227959698,0.125734677,0.129093199,0.155961377
MalConvKDRS_gamma_30,0.153862301,0.360411419,0.139168766,0.129513014,0.124895046,0.155331654
MalConvKDRS_gamma_50,0.14147775,0.337111671,0.147355164,0.121746432,0.123005877,0.15743073
MalConvRDRS_CS,0.935768262,0.930730479,0.934718724,0.935558354,0.927581864,0.929261125
MalConvRDRS_FD,0.922963896,0.921074727,0.919605374,0.921914358,0.920654912,0.921494542
MalConvRDRS_gamma_05,0.48131822,0.568429891,0.518261965,0.480898405,0.49202351,0.520780856
MalConvRDRS_gamma_10,0.121746432,0.20549958,0.145256087,0.114609572,0.10768262,0.128043661
MalConvRDRS_gamma_20,0.119647355,0.339630563,0.201721243,0.109571788,0.105793451,0.128673384
MalConvRDRS_gamma_30,0.117968094,0.334382872,0.125314861,0.106003359,0.105163728,0.130142737
MalConvRDRS_gamma_50,0.114819479,0.314651553,0.123425693,0.105163728,0.10495382,0.130352645
MalConvRS_CS,0.956339211,0.939336692,0.949202351,0.946473552,0.956339211,0.956339211
MalConvRS_FD,0.949622166,0.949622166,0.950251889,0.949202351,0.948572628,0.950041982
MalConvRS_gamma_05,0.588790932,0.624475231,0.60411419,0.580394626,0.585012594,0.621536524
MalConvRS_gamma_10,0.18240974,0.254617968,0.176952141,0.157850546,0.161209068,0.189966415
MalConvRS_gamma_20,0.175482788,0.363140218,0.235096558,0.1565911,0.159109992,0.188497061
MalConvRS_gamma_30,0.177791772,0.370486986,0.161209068,0.157640638,0.15743073,0.185558354
MalConvRS_gamma_50,0.178211587,0.341939547,0.163098237,0.154282116,0.156171285,0.189756507
MalConvRsDel_CS,0.852854744,0.790302267,0.907850546,0.900083963,0.841519731,0.900083963
MalConvRsDel_FD,0.94752309,0.944794291,0.945843829,0.945843829,0.944584383,0.945633921
MalConvRsDel_gamma_05,0.291141898,0.33186398,0.300587741,0.292611251,0.285474391,0.298698573
MalConvRsDel_gamma_10,0.176322418,0.195843829,0.18324937,0.17611251,0.172544081,0.178001679
MalConvRsDel_gamma_20,0.175902603,0.27308984,0.191435768,0.175692695,0.174433249,0.181780017
MalConvRsDel_gamma_30,0.176742233,0.272670025,0.173803526,0.17527288,0.178421495,0.18324937
MalConvRsDel_gamma_50,0.179471033,0.272040302,0.174223342,0.17884131,0.172124265,0.183879093
MalConvSDRS_CS,0.940806045,0.934718724,0.935558354,0.938287154,0.929890848,0.931570109
MalConvSDRS_FD,0.92170445,0.92170445,0.92170445,0.921494542,0.921494542,0.921074727
MalConvSDRS_gamma_05,0.467674223,0.563602015,0.502728799,0.469983207,0.478379513,0.511754828
MalConvSDRS_gamma_10,0.108102435,0.196263644,0.133081444,0.100755668,0.096557515,0.113979849
MalConvSDRS_gamma_20,0.108102435,0.33186398,0.191645676,0.098656591,0.096137699,0.121326616
MalConvSDRS_gamma_30,0.105373636,0.327665827,0.110831234,0.097816961,0.095717884,0.121536524
MalConvSDRS_gamma_50,0.100965575,0.305835432,0.114609572,0.0934089,0.091519731,0.120696893
NGramConv_CS,0.9065911,0.861041142,0.921284635,0.918345928,0.654282116,0.916246851
NGramConv_FD,0.960747271,0.959907641,0.959907641,0.961167086,0.935138539,0.959697733
NGramConv_gamma_05,0.159319899,0.293660789,0.178211587,0.157850546,0.116708648,0.174223342
NGramConv_gamma_10,0.098656591,0.141057935,0.109781696,0.096137699,0.068639798,0.101175483
NGramConv_gamma_20,0.098446683,0.258816121,0.125314861,0.094458438,0.073257767,0.102015113
NGramConv_gamma_30,0.101595298,0.274349286,0.100755668,0.0934089,0.075776658,0.106842989
NGramConv_gamma_50,0.100965575,0.264063812,0.102015113,0.096767422,0.075356843,0.109781696
NGramConvFDRS_CS,0.955289673,0.935138539,0.967254408,0.964945424,0.938916877,0.959907641
NGramConvFDRS_FD,0.971872376,0.971452561,0.971872376,0.971242653,0.971452561,0.971452561
NGramConvFDRS_gamma_05,0.943744752,0.931780017,0.920864819,0.937237615,0.932199832,0.937237615
NGramConvFDRS_gamma_10,0.464945424,0.503148615,0.465785055,0.445633921,0.465155332,0.521410579
NGramConvFDRS_gamma_20,0.456339211,0.597816961,0.532115869,0.446683459,0.452141058,0.509865659
NGramConvFDRS_gamma_30,0.452350966,0.58186398,0.438077246,0.446263644,0.456968934,0.503148615
NGramConvFDRS_gamma_50,0.454240134,0.556465155,0.440176322,0.436188077,0.451721243,0.48929471
NGramConvKDRS_CS,0.963056255,0.957598657,0.961586902,0.961167086,0.959907641,0.962216625
NGramConvKDRS_FD,0.95822838,0.957598657,0.95822838,0.958018472,0.957808564,0.958018472
NGramConvKDRS_gamma_05,0.88077246,0.858732158,0.836691856,0.861460957,0.87006717,0.864399664
NGramConvKDRS_gamma_10,0.390008396,0.466414777,0.431150294,0.408270361,0.424433249,0.453400504
NGramConvKDRS_gamma_20,0.390218304,0.561293031,0.476700252,0.415617128,0.43240974,0.451721243
NGramConvKDRS_gamma_30,0.39504618,0.560033585,0.422334173,0.413518052,0.42170445,0.452980688
NGramConvKDRS_gamma_50,0.39945424,0.538623006,0.412258606,0.407850546,0.423593619,0.45549958
NGramConvRDRS_CS,0.94395466,0.938706969,0.945214106,0.942695214,0.943115029,0.943744752
NGramConvRDRS_FD,0.940806045,0.939966415,0.94038623,0.941015953,0.939336692,0.94038623
NGramConvRDRS_gamma_05,0.471872376,0.545130143,0.531486146,0.493073048,0.4670445,0.534634761
NGramConvRDRS_gamma_10,0.110831234,0.182619647,0.12993283,0.10411419,0.096557515,0.110411419
NGramConvRDRS_gamma_20,0.10495382,0.331234257,0.191855584,0.098656591,0.095298069,0.110621327
NGramConvRDRS_gamma_30,0.104743913,0.328085642,0.111460957,0.098866499,0.097816961,0.116918556
NGramConvRDRS_gamma_50,0.099076406,0.309193955,0.118387909,0.094878254,0.091939547,0.113769941
NGramConvRS_CS,0.854324097,0.8434089,0.842359362,0.846767422,0.845927792,0.850755668
NGramConvRS_FD,0.847187238,0.844248531,0.845927792,0.845088161,0.845507976,0.844668346
NGramConvRS_gamma_05,0.286104114,0.32472712,0.296809404,0.30163728,0.272460118,0.295969773
NGramConvRS_gamma_10,0.23131822,0.248950462,0.236775819,0.230478589,0.223971453,0.23488665
NGramConvRS_gamma_20,0.230058774,0.305415617,0.254827876,0.228589421,0.222921914,0.23131822
NGramConvRS_gamma_30,0.232997481,0.307724601,0.229848866,0.228169605,0.221872376,0.236985726
NGramConvRS_gamma_50,0.228379513,0.29806885,0.236356003,0.22774979,0.221032746,0.237405542
